# FSL vocabulary — the source of truth for the dictionary.
#
# Edit this file (or a spreadsheet exported to this shape), then run:
#     python scripts/build_signs.py
# to regenerate content/signs.json and web/src/content/signs.json.
#
# Columns
#   slug         URL segment. Lowercase ASCII, digits and hyphens. Must be unique.
#                It is a permalink — renaming one breaks any link already shared.
#   gloss_en     Label shown in the /en dictionary.
#   gloss_fil    Label shown in the /fil dictionary.
#   aliases_en   Extra English search terms, pipe-separated. May be empty.
#   aliases_fil  Extra Filipino search terms, pipe-separated. May be empty.
#   section      One of: filipino-gestures, basic-signs, socializing, time-and-date
#   group        A subsection of that section — see TAXONOMY in scripts/build_signs.py.
#                Empty for filipino-gestures, which has no subsections.
#   hands        left-right (one-handed, either hand) | both (two-handed)
#   motion       static | dynamic | empty when it has not been confirmed
#   same_in_fil  yes when the word is genuinely identical in both languages
#                (the letters, the numerals, FSL, OK). The build rejects an
#                English gloss repeated as Filipino unless this says so, because
#                the usual cause is a translation nobody got round to.
#
# Adding a word: append a row, run the build. Removing one: delete the row and
# rebuild. Adding a whole new section or group also needs an edit to TAXONOMY in
# scripts/build_signs.py and a label in web/messages/en.json and fil.json.
#
# ⚠️ Filipino glosses below were written to get the bilingual UI working end to
# end and have not been reviewed by a Deaf FSL user. Treat them as drafts.
slug,gloss_en,gloss_fil,aliases_en,aliases_fil,section,group,hands,motion,same_in_fil

# --- Filipino gestures ------------------------------------------------------
ano,Ano?,Ano?,what,,filipino-gestures,,left-right,,yes
bless-mano-po,Bless (Mano po),Mano po,mano,pagmamano,filipino-gestures,,left-right,,
come-here,Come Here,Halika,,pumunta ka rito,filipino-gestures,,both,,
ewan,Ewan,Ewan,dont know,hindi ko alam,filipino-gestures,,left-right,,yes
excuse-me,Excuse Me,Makikiraan,pardon me,paraan po,filipino-gestures,,both,,
menu-bill,Menu (Bill),Singil,bill|check,tseke,filipino-gestures,,both,,
sana,Sana,Sana,hopefully|i wish,,filipino-gestures,,both,,yes

# --- Basic signs · alphabet -------------------------------------------------
letter-a,A,A,,,basic-signs,alphabet,left-right,static,yes
letter-b,B,B,,,basic-signs,alphabet,left-right,static,yes
letter-c,C,C,,,basic-signs,alphabet,left-right,static,yes
letter-d,D,D,,,basic-signs,alphabet,left-right,static,yes
letter-e,E,E,,,basic-signs,alphabet,left-right,static,yes
letter-f,F,F,,,basic-signs,alphabet,left-right,static,yes
letter-g,G,G,,,basic-signs,alphabet,left-right,static,yes
letter-h,H,H,,,basic-signs,alphabet,left-right,static,yes
letter-i,I,I,,,basic-signs,alphabet,left-right,static,yes
letter-j,J,J,,,basic-signs,alphabet,left-right,dynamic,yes
letter-k,K,K,,,basic-signs,alphabet,left-right,static,yes
letter-l,L,L,,,basic-signs,alphabet,left-right,static,yes
letter-m,M,M,,,basic-signs,alphabet,left-right,static,yes
letter-n,N,N,,,basic-signs,alphabet,left-right,static,yes
letter-enye,Ñ,Ñ,enye|n tilde,enye,basic-signs,alphabet,left-right,dynamic,yes
letter-ng,Ng,Ng,,,basic-signs,alphabet,both,static,yes
letter-o,O,O,,,basic-signs,alphabet,left-right,static,yes
letter-p,P,P,,,basic-signs,alphabet,left-right,static,yes
letter-q,Q,Q,,,basic-signs,alphabet,left-right,static,yes
letter-r,R,R,,,basic-signs,alphabet,left-right,static,yes
letter-s,S,S,,,basic-signs,alphabet,left-right,static,yes
